"varietal","category","average_price_varietal"
"Pedro Ximénez","White","                24.20"
"Pecorino","Sparkling","                26.00"
"Pecorino","White","                21.95"
"Passerina","Dessert","                28.33"
"Passerina","Sparkling","                18.50"
"Passerina","White","                15.35"
"Parraleta","Red","                13.50"
"Pardina","White","                11.00"
"Paralleda","Red","                 8.00"
"Paralleda","White","                10.00"
"Papaskarasi","Red","                20.00"
"Papaskarasi","White","                24.00"
"Pansa Blanca","White","                17.39"
"Palomino","Dessert","                90.00"
"Palomino","Port/Sherry","                36.46"
"Palomino","White","                25.00"
"Pallagrello Nero","Red","                46.00"
"Pallagrello Bianco","White","                30.43"
"Pallagrello","Red","                49.00"
"Pallagrello","White","                29.64"
"País","Red","                19.00"
"País","Sparkling","                20.00"
"Otskhanuri Sapere","Red","                30.00"
"Other","Dessert","                27.00"
"Oseleta","Red","               100.00"
"Ortega","Rose","                14.00"
"Orangetraube","White","                22.33"
"Orange Muscat","Dessert","                18.69"
"Orange Muscat","Sparkling","                18.00"
"Orange Muscat","White","                20.58"
"Ondenc","White","                16.50"
"Olasrizling","White","                25.00"
"Okuzgozu","Red","                23.18"
"Ojaleshi","Red","                18.00"
"Nuragus","White","                15.80"
"Nosiola","Dessert","                43.67"
"Nosiola","White","                22.17"
"Norton","Dessert","                30.00"
"Norton","Port/Sherry","                52.00"
"Norton","Red","                22.55"
"Nielluciu","Red","                20.00"
"Nielluciu","White","                24.00"
"Nieddera","Red","                20.00"
"Neuburger","White","                30.55"
"Nero di Troia","Red","                31.36"
"Nero d'Avola","Dessert","                59.00"
"Nero d'Avola","Red","                23.52"
"Nero d'Avola","Rose","                16.14"
"Nero d'Avola","White","                21.20"
"Nerello Mascalese","Red","                46.03"
"Nerello Mascalese","Rose","                19.64"
"Nerello Mascalese","Sparkling","                31.50"
"Nerello Mascalese","White","                22.00"
"Nerello Cappuccio","Red","                31.38"
"Nerello Cappuccio","Sparkling","                38.00"
"Negroamaro","Red","                19.61"
"Negroamaro","Rose","                15.47"
"Negroamaro","Sparkling","                10.00"
"Negrette","Red","                20.68"
"Negrette","Rose","                10.50"
"Negrette","Sparkling","                25.00"
"Nebbiolo","Dessert",NULL
"Nebbiolo","Port/Sherry",NULL
"Nebbiolo","Red","                67.20"
"Nebbiolo","Rose","                17.14"
"Nebbiolo","Sparkling","                38.00"
"Nebbiolo","White","                41.50"
"Nasco","Dessert","                61.67"
"Nasco","White","                20.00"
"Nascetta","White","                27.00"
"Narince","White","                21.40"
"Muskateller","Dessert","                35.00"
"Muskateller","White","                25.43"
"Muskat Ottonel","Dessert","                45.86"
"Muskat Ottonel","Sparkling","                13.00"
"Muskat Ottonel","White","                14.11"
"Muskat","White","                20.50"
"Muscatel","Dessert","                13.50"
"Muscatel","White","                19.00"
"Muscat Ottonel","Dessert","               130.00"
"Muscat Ottonel","White","                26.33"
"Muscat of Alexandria","Dessert","                19.67"
"Muscat of Alexandria","White","                 9.50"
"Muscat Hamburg","Dessert","                17.67"
"Muscat Hamburg","Port/Sherry","                22.00"
"Muscat d'Alexandrie","Dessert","                18.60"
"Muscat d'Alexandrie","Sparkling","                10.00"
"Muscat Canelli","Dessert","                19.39"
"Muscat Canelli","White","                17.75"
"Muscat Blanc à Petits Grains","Dessert","                24.00"
"Muscat Blanc à Petits Grains","Fortified","                19.75"
"Muscat Blanc à Petits Grains","Sparkling","                15.00"
"Muscat Blanc à Petits Grains","White","                14.33"
"Muscat Blanc","Dessert","                30.67"
"Muscat Blanc","White","                19.36"
"Muscat-Viognier","White","                12.00"
"Muscat","Dessert","                35.18"
"Muscat","Fortified","                53.60"
"Muscat","Port/Sherry","                71.40"
"Muscat","Red","                14.00"
"Muscat","Sparkling","                14.55"
"Muscat","White","                23.32"
"Muscadine","Dessert","                20.00"
"Muscadine","White","                25.00"
"Muscadet","White","                 9.67"
"Muscadelle","Dessert","               160.33"
"Muscadelle","Fortified","               177.00"
"Muscadelle","White","                33.33"
"Muscadel","Dessert","                99.40"
"Muscadel","White","                33.00"
"Müller-Thurgau","Dessert",NULL
"Müller-Thurgau","Sparkling","                20.75"
"Müller-Thurgau","White","                19.33"
"Mtsvane","Sparkling","                37.00"
"Mtsvane","White","                22.17"
"Mourvèdre-Syrah","Red","                47.75"
"Mourvèdre","Red","                34.06"
"Mourvèdre","Rose","                21.75"
"Moscofilero","White","                14.00"
"Moschofilero-Chardonnay","White","                13.00"
"Moschofilero","White","                15.36"
"Moscato Rosa","Dessert","                54.33"
"Moscato Giallo","Dessert","                23.63"
"Moscato Giallo","White","                21.00"
"Moscato di Scanzo","Dessert","                62.00"
"Moscato di Noto","Dessert","                40.00"
"Moscato","Dessert","                19.63"
"Moscato","Fortified","                13.00"
"Moscato","Red","                19.50"
"Moscato","Rose","                 9.67"
"Moscato","Sparkling","                15.44"
"Moscato","White","                12.81"
"Moscatel Roxo","Dessert","                50.00"
"Moscatel Roxo","Fortified","                25.00"
"Moscatel Roxo","Rose","                19.00"
"Moscatel Graúdo","White","                13.00"
"Moscatel Galego Branco","White","                25.00"
"Moscatel de Alejandría","White","                18.67"
"Moscatel","Dessert","                33.50"
"Moscatel","Fortified","                39.82"
"Moscatel","Port/Sherry","                47.25"
"Moscatel","Red","                19.00"
